marketplace	asin	bucket	element	is_owned	src	price	units	listing_days	fulfillment	brand	title	node_label_path
DE	B0GYPJL5BM	噪声-珠串棱镜	其他元素	0	both	18.99	43	86	NA	Connextion	8 Stück Sonnenfänger Bastelset Kristall Sonnenfänger Selber Basteln Suncatcher DIY Set für Kindergeburtstag, Lichtfänger Basteln für Fenster Garten Regenbogen Haus Kinderzimmern Deko	Garten:Gartendeko:Figuren & Statuen:Sonnenfänger
DE	B0GQT5TXC4	噪声-珠串棱镜	其他元素	0	shop	7.99	41	84	FBA	XIANNVXI	XIANNVXI 3000 Stück Silber Röhrenperlen Glasperlen zum Auffädeln Mini Glas Perlen Armbänder Ketten Stick Näharbeiten Sonnenfänger Bastelperlen 2×6mm Lose Silber Perlen zum Aufnähen mit 2 Perlennadeln	Küche, Haushalt & Wohnen:Basteln, Malen & Handarbeiten:Perlenweben & Schmuckherstellung:Schmuckperlen & Zubehör
DE	B0GVS4YDMS	噪声-珠串棱镜	花	0	shop	6.99	36	84	FBA	Simsky	Fensterbilder Selbstklebend Blumen 20 Stück – Bunte Fensterfolie mit Regenbogenreflexion, Prisma Fensteraufkleber als Vogelschutz &amp; Sonnenfänger, Fenstersticker Frühling für Glasfenster	Küche, Haushalt & Wohnen:Wohnaccessoires & Deko:Dekoartikel:Aufkleber:Fensterbilder
DE	B0GS5PKV1F	噪声-珠串棱镜	蝴蝶	0	shop	9.99	36	93	FBA	Gemejutor	Fensterbilder Bastelset Frühling – 24 Schmetterlinge DIY Fensterbilder aus Papier mit Selbstklebender Folie, Frühlings Fensterdeko für Zuhause &amp; kreative Handwerksprojekte	Spielzeug:Kunst & Handwerk:Kinder-Bastelsets:Papierbastelsets
DE	B0GVTMDS7H	噪声-珠串棱镜	其他元素	0	shop	4.18	34	86	FBA	Ajcotahm	Kristall Sonnenfänger Fenster Lotusblüten Sonnenfänger mit Kristallprisma Hängend Windspiel Sonnenkristall Sonnenfängers Kristall für Fensterdeko Lotus-Sonnenfängers für Haus Büro Auto Geschenkidee	Garten:Gartendeko:Figuren & Statuen:Sonnenfänger
DE	B0GY96Q4NB	噪声-珠串棱镜	蝴蝶	0	shop	11.89	32	52	FBA	Xylota	Xylota DIY Diamond Painting Kinder Schmetterling Bastelset Kinder, Bastelset Kinder ab 5 6 7 8 9 10 Jahre, Window Color Set Sonnenfänger Fensterdeko, Basteln Mädchen 8 jahre, Geschenk Mädchen 6 jahre	Spielzeug:Kunst & Handwerk:Kinder-Bastelsets:Papierbastelsets
DE	B0GT3VGTC3	噪声-珠串棱镜	其他元素	0	shop	8.99	31	71	FBA	Simsky	Simsky Sonnenfänger Kristall Fenster, Regenbogen Lichtfänger Hängend mit AB-Farben, Frühlingsdeko Fenster Hängend für Fensterdeko, Zuhause, Büro, Garten &amp; Auto, Suncatcher Glas Ornament	Garten:Gartendeko:Figuren & Statuen:Sonnenfänger
DE	B0GSFLCPGX	噪声-珠串棱镜	其他元素	0	both	7.99	31	104	FBA	WTpin	2 Stück Sonnenfänger Kristall Fenster Deko Suncatcher Lichtfänger Hängedeko Outdoor Lichtspiel Windspiel,Sonnenkristall zum Aufhängen	Garten:Gartendeko:Figuren & Statuen:Sonnenfänger
DE	B0GGZ7QSWC	噪声-珠串棱镜	其他元素	0	shop	9.34	31	119	FBA	COGVOHY	3 Stück Diamond Painting Windspiele Set, Geschenke für Mädchen 5 6 7 8 9 10 11 12 Jahre, DIY Diamond Painting Bastelset Kinder ab 5-12 Jahre, Sonnenfänger Kristalle Zum Aufhängen Windspiel für Kinder	Küche, Haushalt & Wohnen:Basteln, Malen & Handarbeiten:Mosaikherstellung:Bausätze & Zubehör für Diamantmalerei:Bausätze für Diamantmalerei
DE	B0GYFGYKGL	噪声-珠串棱镜	其他元素	0	shop	10.99	30	44	NA	DiiWmme	Sonnenfänger Kristall 5er Set Fensterdeko Hängend – Handgefertigte Lichtfänger mit Holzperlen &amp; Kristallkugel – Sanftes Lichtspiel Fenster für Boho Wohnzimmer Garten Deko	Garten:Gartendeko:Figuren & Statuen:Sonnenfänger
