idx	SKU	开发	站点	产品名称	开品理由	售价	采购价¥	空运利润率
89	2561728	宋凤莉	UK	【定制】挂画【猫家族1】【30*40cm】	好品速上，新载体	8.99	8.5	0.217346492199243
90	2561729	宋凤莉	UK	【定制】挂画【猫家族2】【30*40cm】	好品速上，新载体	8.99	8.5	0.217346492199243
91	2561730	宋凤莉	UK	【定制】木质摆件【猫家族】【20cm 厚度1.2cm】	好品速上，新载体	7.99	6.8	0.201925269584639
92	2561731	宋凤莉	UK	【20pcs】仿真蝾螈玩具 【备注：20个/包，要颜色丰富的，每包包装尺寸高度控制在2.5cm内】	新品，同款，性价比	8.99	15.4	0.197793150338784
93	2561732	宋凤莉	UK	【2pcs】【定制】亚克力地插【秋季牛】【20cm 两根插】	秋季元素，新款式	6.99	8	0.230685690162929
94	2561733	宋凤莉	UK	金属知更鸟地插-【35*25cm】	新品，美国爆款，英国暂无同款，金属材质尺寸35*25	11.99	11.88	0.22535455971311
95	2561734	宋凤莉	UK	【24pcs】粉色蝴蝶结生日派对餐盒【备注：24个装一包】	新款	7.99	9.6	0.174080158746443
96	2561735	宋凤莉	UK	绒皮绳材料包套装-【【60色加3包配件(20龙虾扣）】	自己的链接，销量一直表现好，拓的套装	9.99	17	0.192657411509871
97	2561736	宋凤莉	UK	【4sets】蝴蝶结主题线圈本圆珠笔套装-【线圈本圆珠笔套装-4套（4个本+4只笔）】	新品，市场上最低价，最有性价比套装	6.99	8.8	0.203363285791344
98	2561737	宋凤莉	UK	【24pcs】樱桃蝴蝶结纸质托盘【备注：24个装一包，每包包装尺寸高度控制在2.5cm内】	新款	7.99	7.5	0.218046123227805
99	2640392	张子轩	UK	矮茎向日葵盆栽玩偶	向日葵好卖，这款更精致，供应商新款	9.99	10	0.210555872031282
100	2640393	张子轩	UK	【定制】铁皮画-20*30cm【动力语录】	热销款，图案小改	5.99	3.6	0.212858472160861
101	2640394	张子轩	UK	【4pc】波西米亚风经文儿童房激励海报【20*25cm（4幅一套）】	新图案，价格优，语句出自宗教，好卖	6.99	6	0.257405024910126
102	2640395	张子轩	UK	【15pc】儿童小便器变色贴纸【恐龙新款+恐龙套装+动物A套装】	新品热卖，新增恐龙款式,数量更多	5.99	10.5	0.185165947930391
103	2640396	张子轩	UK	【3pc】恐龙世界-生日立体贺卡【信封+贺卡+立体恐龙】	供应商新款	6.99	8	0.225057040335307
104	2640397	张子轩	UK	【12pc】粉色蝾螈派对薯片盒	供应商新款，无竞品	6.99	4.8	0.258540806036057
105	2640398	张子轩	UK	【10pcs】恐龙爆米花盒	供应商新款，换载体，恐龙元素	6.99	4.5	0.244197800136026
106	2640401	张子轩	UK	【24pc】豹纹老虎斑马纹长颈鹿叶子派对零食托盘【每款4个】	供应商新款，元素好卖，换载体	8.99	10	0.210086278534828
107	2640402	张子轩	UK	【12pc】67周边钥匙扣【12件套1】	价格优势	8.99	11	0.243951645466079
108	2640403	张子轩	UK	金粉蛋糕钱夹（6卡位-普通款）	新图案，细节更精美	5.99	3.9	0.279318770941421
109	2640404	张子轩	UK	【126pc】4宫格中款甜美亮面穿戴甲【TD351】备注：额外下单5张对应的胶，1个迷你搓条	新品热销，价格优势	5.99	6.59	0.235570017163657
110	2640405	张子轩	UK	【126pc】4宫格中款甜美亮面穿戴甲【TD352】备注：额外下单5张对应的胶，1个迷你搓条	新品热销，供应商新款，价格优势	5.99	6.59	0.235570017163657
111	2640406	张子轩	UK	亚克力心形水晶吊坠挂件礼盒装【10*9*0.5爱心挂件18】备注：确认一下盒子的照片是否正确	供应商新款，知更鸟元素	7.99	10	0.231326775565476
112	2640407	张子轩	UK	【带磁】【4pc】母女心形拼接项链钥匙扣两件套【一对项链+一对银色钥匙扣】	供应商新款，新增的项链加配套钥匙扣，经典组合	7.99	12.5	0.23700131604787
